animename,genre
Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai,"4,22,9,35,23"
Slow Start,"4,52,23"
Granblue Fantasy The Animation: Kabocha no Lantern,10
Gintama.: Porori-hen,"1,4,24,57,13,20,21,27"
Darling in the FranXX,"1,8,22,24,18"
Yume ga Sameru made,8
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,"1,2,10,27"
Wotaku ni Koi wa Muzukashii,"4,22,50,69,48"
Persona 5 the Animation,"1,37,23,31"
Kimi no Suizou wo Tabetai,"8,22,23"
The iDOLM@STER Prologue SideM: Episode of Jupiter,"61,19"
Itsudatte Bokura no Koi wa 10 cm Datta.,"8,22,23,80"
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai: Kinyoubi no Ohayou,"22,23"
Sword Art Online: Alicization,"1,2,10,79"
Sword Art Online Alternative: Gun Gale Online,"1,38,79"
B-Project: Zecchou*Emotion,"61,19"
The iDOLM@STER SideM: 315 Variety Pack! Made In Passion!,"61,19"
Natsume Yuujinchou Movie: Utsusemi ni Musubu,"36,37,63,6,25"
Granblue Fantasy The Animation Season 2,"1,2,10"
Banana Fish,"1,2,8,41,55,68,40,25"
Yuragi-sou no Yuuna-san,"4,22,37,9,35,27"
Eromanga-sensei OVA,"4,22,9,69"
Gintama.: Shirogane no Tamashii-hen,"1,4,24,57,13,20,21,27"
Saenai Heroine no Sodatekata Fine,"4,22,35,69,23"
Zoku Owarimonogatari,"4,7,37,32"
Emiya-san Chi no Kyou no Gohan,"47,36,63"
Hataraku Saibou,"4,51,56,67,27"
Mo Dao Zu Shi,"1,2,8,10,7,13,6,72"
Shampoo no Nioi ga Shita,"60,19"
Sarazanmai,"1,10,37,51"
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"8,22,37,23"
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2","4,8,7,50,39,48"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,"1,4,24,57,13,20,21,27"
Grancrest Senki: Tsuisou,"1,8,10,47,38"
City Hunter Movie: Shinjuku Private Eyes,"1,4,7,50,27"
Devilman: Crybaby - Digest Eizou,"1,14,37,6,27"
Dakaretai Otoko 1-i ni Odosarete Imasu.,"28,4,8,50,75"
High School Fleet Movie,"1,38,23"
Beelzebub-jou no Okinimesu mama.,"4,10,22,6,48,27"
Yakusoku no Neverland,"10,7,24,41,40,76,27"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"4,40,74,23,42"
Kimetsu no Yaiba,"1,46,10,13,27"
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"1,10,37,62"
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,"1,10,37"
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,"1,10,37"
Bokutachi wa Benkyou ga Dekinai,"4,22,35,23,27"
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,"8,10,41,66,40"
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"8,22,37,23"
Wotaku ni Koi wa Muzukashii OVA,"22,50,69,48"
Ore wo Suki nano wa Omae dake ka yo,"4,22,35,23"
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,"2,4,10,9"
Darwin's Game,"1,7,24,41,59,31,76,27"
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,"10,7,37"
Birthday Wonderland,"2,10,62"
Gintama: The Final,"1,4,8,24,57,13,20,21,27"
Given,"28,8,19,23"
Sora no Aosa wo Shiru Hito yo,"8,22,37,19,78"
Hataraku Saibou!!,"4,51,56,67,27"
Sword Art Online: Alicization - War of Underworld,"1,2,10,79"
Yakusoku no Neverland 2nd Season,"10,24,41,40,76,27"
Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru,"4,22,35,23,27"
Uchi Tama?! Uchi no Tama Shirimasen ka?,"36,51,71"
Bokutachi wa Benkyou ga Dekinai!,"4,22,35,23,27"
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka? Namiuchigiwa no Okaasan wa Suki desu ka?,"4,10,9"
22/7,"60,19"
Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,"1,10,37"
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"1,10,13,27"
Sword Art Online: Alicization - War of Underworld Reflection,"1,2,10,79"
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","1,10,72,23"
Mahouka Koukou no Rettousei: Raihousha-hen,"1,10,22,24,23"
Sword Art Online: Alicization - War of Underworld 2nd Season,"1,2,10,79"
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"4,40,74,23,42"
2.43: Seiin Koukou Danshi Volley-bu,"8,30,23,77"
Bishounen Tanteidan,"7,81,39,23,80"
Fate/Grand Order: Zettai Majuu Sensen Babylonia Recaps,"1,10,37"
Hypnosis Mic: Division Rap Battle - Rhyme Anima,"24,50,19"
Ore wo Suki nano wa Omae dake ka yo: Ore wa Teinei ni Susumeru,"4,22,23"
Ousama Ranking,"2,10"
22/7: 8＋3=?,"60,19"
Hortensia Saga,"1,2,10"
Back Arrow,"1,10,18"
Fugou Keiji: Balance:Unlimited,"7,50,39"
Senyoku no Sigrdrifa,"1,38"
86,"1,8,24,18,38"
Bleach: Sennen Kessen-hen,"1,2,10,27"
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,"1,10,37,62"
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya,"8,10,41,66,40"
Hataraku Saibou Black,"1,8,51,56,67,42"
Kamisama ni Natta Hi,"8,10"
"Hataraku Saibou!! Saikyou no Teki, Futatabi. Karada no Naka wa ""Chou"" Oosawagi!","1,4,56,67,27"
Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru,"4,22,35,27"
Heion Sedai no Idaten-tachi,"1,2,10,6,42"
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,"36,37,63,6,25"
Horimiya,"22,23,27"
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,"1,2,10,79"
SK∞,"30,3"
Wonder Egg Priority,"8,10,41,40"
Shadows House,"10,7,42"
Kaguya-sama wa Kokurasetai: Ultra Romantic,"4,22,23,42"
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,"4,9,74,23,42"
Misaki no Mayoiga,"46,8,10,6"
Bakuten!!,"30,70"
Hula Fulla Dance,70
Senyoku no Sigrdrifa: Dai-909 Senjutsu Hime-tai Sentou Kiroku!,"1,38"
Fate/Grand Carnival,"4,10,37,20"
Mahouka Koukou no Yuutousei,"10,24,23"
Dinosaur Biyori,36
Vivy: Fluorite Eye's Song,"1,24,41,19,78"
Kimetsu no Yaiba: Yuukaku-hen,"1,10,13,27"
Bocchi the Rock!,"4,52,19"
Mahouka Koukou no Rettousei: Tsuioku-hen,"1,10,24"
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","1,10,72,23"
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2","1,10,72,23"
SK∞: Crazy Rock Jam,"30,3"
Akebi-chan no Sailor-fuku,"36,52,23,42"
Visual Prison,"37,19,32"
86 Part 2,"1,8,24,18,38"
Vanitas no Karte,"1,10,7,13,32,27"
Wonder Egg Priority: Watashi no Priority,"8,10,40"
Sono Bisque Doll wa Koi wo Suru,"22,69,23,42"
Build Divide: Code Black,"10,11"
Build Divide: Code White,"10,11"
Mahou Shoujo Madoka★Magica Movie 4: Walpurgis no Kaiten,"8,10,41,66,40"
Twisted-Wonderland 1-shuunen Kinen PV,"37,19,6"
Vanitas no Karte Part 2,"1,10,7,13,32,27"
86 Special Edition: Senya ni Akaku Hinageshi no Saku,"1,8,24,18,38"
Vivy: Fluorite Eye's Song - To Make Everyone Happy With My Singing,"1,24,41,19,78"
Bakuten!! Movie,"30,70"
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final Season - Asaki Yume no Akatsuki,"8,10,41,66,40"
Gunjou no Fanfare,"30,3"
Shadows House 2nd Season,"10,7,42"
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya Recap,"8,41,40"
Kimetsu no Yaiba: Mugen Ressha-hen,"1,10,13,27"
Tokyo 24-ku,"7,24,31"
Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,"1,2,10,22,79"
Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,"4,23,42"
Kunoichi Tsubaki no Mune no Uchi,"1,4,52,17,27"
Yofukashi no Uta,"22,37,32,27"
Buta no Liver wa Kanetsu Shiro,"2,10,62"
Koukyuu no Karasu,"10,7,13,6,43"
Suzume no Tojimari,"2,10,6"
Ayakashi Triangle,"1,4,22,37,9,65,6,27"
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),"1,13,21,27"
Mahoutsukai no Yoru,"7,37"
Lycoris Recoil,1
Urusei Yatsura (2022),"4,22,24,27"
Mahouka Koukou no Rettousei 3rd Season,"1,10,22,24,23"
Kimetsu no Yaiba: Katanakaji no Sato-hen,"1,10,13,27"
NieR:Automata Ver1.1a,"1,10,24"
Tokyo 24-ku: Reversal Film,"7,24,31"
Engage Kiss,"1,4,22"
City Hunter Movie: Tenshi no Namida,"1,7,50,27"
Shiro Seijo to Kuro Bokushi,"10,22,27"
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"4,8,22,23,42"
Mashle,"1,4,10,57,20,23,27"
Ore dake Level Up na Ken,"1,2,10,50"
Tomo-chan wa Onnanoko!,"4,22,23"
Ousama Ranking: Yuuki no Takarabako,"2,10"
Berserk: Ougon Jidai-hen - Memorial Edition,"1,2,8,10,14,58,38,42"
Sousou no Frieren,"2,8,10,27"
Sono Bisque Doll wa Koi wo Suru (Zoku-hen),"22,69,23,42"
Yamada-kun to Lv999 no Koi wo Suru,"22,79"
Fate/strange Fake: Whispers of Dawn,"1,10,37"
Atri: My Dear Moments,"8,22,24"
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,"8,22,37,23"
Eisen Flügel,"10,38"
UniteUp!,"36,61,19"
Buddy Daddies,"1,4,53,68"
Tu Bian Yingxiong X,"1,31"
Ao no Exorcist: Shimane Illuminati-hen,"1,10,6,23,27"
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,"1,2,10,27"
16bit Sensation: Another Layer,"4,24,37,50,69,78,48"
Lycoris Recoil (Shinsaku Animation),1
Buddy Daddies Intermission: Cherry-Pick,"1,4,53,68"
Nige Jouzu no Wakagimi,"2,4,13,21,27"
UniteUp! Furikaeranai to,"61,19"
Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,"2,10"
Urusei Yatsura (2022) 2nd Season,"4,22,24,27"
Kikansha no Mahou wa Tokubetsu desu,"1,10,23,78"
Maou 2099,"1,10,24"
Senpai wa Otokonoko,"22,81,23"
Horimiya: Piece,"22,23,27"
Hypnosis Mic: Division Rap Battle - Rhyme Anima +,"24,50,19"
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,"8,22,37,23"
Wind Breaker,"1,55,23"
Hokkyoku Hyakkaten no Concierge-san,"10,36,51,48,42"
Atarashii Joushi wa Do Tennen,"36,50,63,48"
Kimetsu no Yaiba: Hashira Geiko-hen,"1,10,13,27"
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,"1,4,10,57,20,23,27"
Kuroshitsuji: Kishuku Gakkou-hen,"1,10,7,13,6,23,27"
Sword Art Online Alternative: Gun Gale Online II,"1,38,79"
Momochi-san Chi no Ayakashi Ouji,"10,22,6,25"
Kizumonogatari: Koyomi Vamp,"1,7,37,32"
Fureru.,8
Trapezium,60
Make Heroine ga Oosugiru!,"4,22,23"
Kikansha no Mahou wa Tokubetsu desu 2nd Season,"1,10,23,78"
Monogatari Series: Off & Monster Season,"4,7,37,32"
Mono,"4,52"
Ameku Takao no Suiri Karte,"7,67"
Aa! Megami-sama!,"4,22,37,42"
Aa! Megami-sama! (TV),"4,22,37,42"
Blue Gender,"1,2,8,14,24,58,18,38,29,76"
Ijigen no Sekai El-Hazard,"2,4,10,62"
Shinpi no Sekai El-Hazard (TV),"2,4,10,22,62"
Shinpi no Sekai El-Hazard,"2,4,10,22,81,62"
Shinpi no Sekai El-Hazard Season 2,"2,4,10,62"
Solty Rei,"1,24,31"
"Ima, Soko ni Iru Boku","2,8,10,24,62,38"
Gosenzo San'e,"4,7,37,12"
Lodoss-tou Senki: Eiyuu Kishi Den,"1,2,8,10,22"
Girls Bravo: First Season,"4,10,22,9,35,62,23,27"
Aa! Megami-sama! Movie,"4,22,37,42"
Nageki no Kenkou Yuuryouji,"4,26,12"
Puchi Pri*Yucie,"4,10"
Burn Up Excess,"1,2,4,7,24,9,39"
Bastard!! Ankoku no Hakaishin,"1,2,10,9,58,42"
Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,"1,2,10"
Girls Bravo: Second Season,"4,10,22,9,35,62,23,27"
Armitage III: Dual-Matrix,"1,24,18"
Armitage III: Poly-Matrix,"1,7,22,24,39,18,38"
Haja Taisei Dangaiou,"1,2,24,18"
Shin Tenchi Muyou!,"4,22,24,35"
Tenchi Muyou! Ryououki,"1,4,24,29"
Tenchi Muyou! Ryououki 2nd Season,"1,4,24,35,29"
Tenchi Muyou! Ryououki 3rd Season,"1,4,24,35,29"
Bubblegum Crisis Tokyo 2040,"1,2,24,50,18"
Moldiver,"1,22,24,18"
Battle Programmer Shirase,"4,24,9"
Night Walker: Mayonaka no Tantei,"1,14,7,37,39,32"
Tenbatsu Angel Rabbie☆,"4,24"
Kyuuketsuhime Miyu (TV),"1,8,14,37,6,32,25"
Burn Up Scramble,"1,4,8,7,24,9,39"
Tenchi Muyou!,"4,22,24,35,29"
Ai no Kusabi,"28,8,24,49"
Trouble Chocolate,"4,22,24"
Burn Up!,"1,4,24,9,39"
Burn Up! W,"1,4,24,9,18"
Aa! Megami-sama! Sorezore no Tsubasa,"4,22,37,35,42"
Riding Bean,"1,39,3,42"
Dual! Parallel Lun-Lun Monogatari,"1,4,24,35,62,18"
Dual! Parallel Runrun Monogatari Special,"4,8,22,24,35,62,18"
Aa! Megami-sama! (TV) Specials,"4,22,37,42"
Tenchi Muyou! in Love,"1,4,22,24,23,29"
Kachou Ouji,"2,4,24,36,19,29"
Armitage III,"1,7,22,24,39,18"
Tenchi Muyou! Manatsu no Eve,"1,4,24,29"
Shinkon Gattai Godannar!!,"4,22,24,9,18"
Tenchi Muyou! GXP,"1,4,24,39,35,18,29"
Tenchi Muyou! in Love 2: Harukanaru Omoi,"8,22,24"
Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!,"4,22,24,35"
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,"1,4,24,35,29"
Green Legend Ran,"2,8,24"
Detonator Orgun,"1,24,18"
Battle Athletess Daiundoukai,"4,24,30,9,29"
Battle Athletess Daiundoukai (TV),"2,24,30,23"
Macross II: Lovers Again,"1,2,24,18,38,29"
Black Magic M-66,"1,24,18,38"
Kyoukasho ni Nai!,"4,22,9,23,42"
Dragon Pink,"1,2,4,10,37,12"
Elf no Wakaokusama,"10,12"
AD Police,"1,2,14,7,24,41,50,39,58,18,40"
Bubblegum Crisis,"1,2,24,50,18"
A.D. Police (TV),"1,24,50,18"
Parasite Dolls,"1,24,39,58,18"
Blue Gender: The Warrior,"1,2,8,14,24,58,18,38,29"
Yuuwaku Countdown,"1,4,10,14,37,12,18"
Kyuuketsuhime Miyu,"1,8,14,37,6,32,25"
Parade Parade,12
Ninja Mono,"2,4,37"
Sol Bianca,"1,2,24,29"
Sol Bianca: Taiyou no Fune,"2,24,18,29"
Mahou Shoujo Pretty Sammy (1996),"4,10,66,20"
Mahou Shoujo Pretty Sammy Specials,"2,4,10,66,20,42"
De:vadasy,"1,9,18,40"
Pumpkin Scissors,"1,4,8,38,27"
Yarima Queen,"4,10,12,6,20"
Lovedol: Lovely Idol,"60,19"
Seishoujo Kantai Virgin Fleet,"10,24,38,23"
Daimajuu Gekitou: Hagane no Oni,"14,24,18"
The Hakkenden,"1,2,13,17,6,21,27"
Iczer-Girl Iczelion,"1,2,24"
Project Zeorymer,"1,8,24,18,40"
Seirei Tsukai,"1,2,10,22,37,27"
Sasami: Mahou Shoujo Club,"10,66,23"
Sasami: Mahou Shoujo Club 2,"10,66,23"
Mahou Shoujo Pretty Sammy,"4,10,66,20"
Gakuen Tokusou Hikaruon,"1,17,23,31"
Megazone 23,"1,7,22,24,18,19"
Outlanders,"2,4,24,9,27"
Photon,"1,2,4,8,22,24,9,18"
Gall Force 1: Eternal Story,"1,2,24,18,38,29"
Gall Force 2: Destruction,"1,24,38,29"
Gall Force 3: Stardust War,"1,24,38,29"
Rhea Gall Force,"1,24,18,38"
Gall Force: Chikyuu Shou,"1,24,18,38"
Gall Force: New Era,"1,24,18,38,29"
Gall Force: The Revolution,"1,2,24,18,38,29"
Sousei Kishi Gaiarth,"1,2,10,24,18"
Guy: Youma Kakusei,"1,24,12,29"
Majuu Senshi Luna Varga,"2,4,10,9"
Silent Möbius: The Motion Picture,"2,24,37"
Silent Möbius 2,"2,10,24,6,42"
Tattoon Master,"2,4,36,37"
Seto no Hanayome,"4,10,22,68,20,23,27"
Call Me Tonight,"4,14,22,24,58"
Sakura Taisen: New York,"2,4,24,18,70"
Aa! Megami-sama! Sorezore no Tsubasa Specials,"4,22,37,35,42"
Ryokunohara Labyrinth: Sparkling Phantom,"5,28,8,37,40,25"
Be-Boy Kidnapp'n Idol,"28,8,61"
Mahou Yuugi 2D,"2,4,10"
Mahou Yuugi 3D,4
Tatakae!! Iczer-1,"1,24,9,18"
Bouken! Iczer 3,"1,2,24,18"
Koroshiya 1 The Animation: Episode 0,"1,5,8,14,41,17,40,42"
Metal Skin Panic MADOX-01,"1,24,18"
Kaitouranma The Animation,"1,2,17,21"
Haja Kyosei G Dangaiou,"1,24,18"
G-Taste,"26,12,42"
Spaceship Agga Ruter,"4,24,12,29"
Tenchi Muyou!: Galaxy Police Mihoshi Space Adventure,"4,24,39,20,29"
Monkey Turn V,"1,8,3,27"
Kussetsu,12
Koukou Tekken-den Tough,"1,17,42"
Toushin Toshi II,"2,10,12"
Youkoso Lodoss-tou e!,"4,20"
Utsukushiki Sei no Dendoushi Reirei,"26,37,12"
Bamboo Blade,"4,30,54,23,42"
Kishin Heidan,"2,24,13,18"
Magical Twilight,"4,12"
Aa! Megami-sama! Tatakau Tsubasa,"4,22,37,35,42"
Dragon's Heaven,"1,2,10,24,18"
"Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de.","4,8"
Cream Lemon: Lemon Angel,"9,60,19"
Cream Lemon,"4,10,24,12,20"
Lemon Angel (1988),9
Lemon Angel (1988/II),9
Oni-Tensei,"14,37,12"
Candy☆Boy: Side Story For Archive,"26,23"
Special A,"4,22,23,25"
Reyon Densetsu Flair,"1,10,12,6"
Kujakuou,"1,14,37,6"
Yunyun☆Paradise,12
Seijuuki Cyguard,"24,37,18"
Cosmos Pink Shock,"4,24,20,29"
Seto no Hanayome OVA,"4,10,22,36,20,23,27"
Wanna-Be's,"4,30,54"
Explorer Woman Ray,"1,2"
Ryuu Seiki,"1,10,24,6"
Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,"26,64,23"
Matou Kitan Zankan!,12
Zoku Gosenzo San'e,"12,32"
Ecchies,12
Asu no Yoichi!,"1,4,22,9,35,17,27"
Hurricane Live! 2033,"50,19"
Hurricane Live! 2032,"50,19"
Ai City,"1,24,31"
Candy Boy Episode: EX01 - Mirai Yohouzu,"26,23"
Trouble Evocation,"8,12"
Seto no Hanayome Fan Disc,"4,20,23"
Mahou no Shiho-chan,12
Ningyou no Yakata,12
GA: Geijutsuka Art Design Class,"36,52,23,80"
Isekai no Seikishi Monogatari,"1,4,10,9,35,62,18,23"
Ai no Kusabi (2012),"28,8,24,49"
Maryuu Senki,"10,14,58"
Asobi ni Iku yo!,"4,22,24,9,35"
Sasameki Koto,"4,26,23,42"
Kigurumikku V3,"4,9,18,20"
Ten Little Gall Force,"1,4,24,18,38,20,29"
Strike Witches 2,"1,24,9,38"
Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron,"26,23"
Nyan Koi!,"4,22,37,35,71"
Anata dake Konbanwa,"12,35"
Shukufuku no Campanella,"2,10,35"
Ookamikakushi,"1,14,7,37"
Beat Shot!!,30
Mayoi Neko Overrun!,"4,22,35"
Hourou Musuko,"8,22,81,23,42"
Pants no Ana: Mambo de Ganbo!,"4,9,23"
Neko Neko Fantasia,"4,71,25"
Mayoi Neko Overrun! Specials,"4,9"
Amagami SS,"22,35,23"
Shin Tenchi Muyou! Specials,"4,22,24"
Ore no Imouto ga Konnani Kawaii Wake ga Nai,"4,69"
Ganbare Goemon: Jigen Jou no Akumu,4
Amagami SS OVA,"22,35,23"
Shukufuku no Campanella Specials,9
Megane na Kanojo,"4,22,23,27"
Aa! Megami-sama! (2011),"4,22,37,42"
Asobi ni Iku yo!: Asobi ni Oide,"4,22,24,9,35"
Strike Witches Movie,"1,24,9,38"
Sora no Otoshimono: Tokeijikake no Angeloid,"4,10,22,24,9,35,27"
Katte ni Shirokuma,"4,51,42"
Shukufuku no Campanella: La Campanella Della Benedizione,"4,10,9"
Amagami SS: Tachibana Miya-hen - Imouto,23
Maken-Ki!,"1,9,35,17,23,31,27"
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"4,22,69"
Tenchi Muyou! Ryououki 2nd Season Picture Drama,"4,24,29"
Jinrui wa Suitai Shimashita,"2,4,10"
Seitokai no Ichizon Lv.2,"4,35,20,23"
The Epic Of ZektBach,"1,10,37"
Persona 4 the Animation,"1,7,24,37,23,31"
R-15,"4,22,9,35,23"
Boku wa Tomodachi ga Sukunai,"4,22,9,35,23"
R-15: R15 Shounen Hyouryuuki,"2,4,22,9,35,20"
Hourou Musuko Specials,"8,81,23"
Maken-Ki! OVA,"1,9,35,17,23,31"
Amagami SS+ Plus,"22,35,23"
Justeen,"1,24,18"
Uchuu Senkan Yamato 2199,"1,8,24,50,38,29"
Koi to Senkyo to Chocolate,"8,22,35,23"
Mikeneko Holmes no Yuurei Joushu,"4,8,7,71"
Acchi Kocchi,"4,22,57,23"
Maken-Ki! Specials,"30,9,27"
Gattai Robot Atranger,18
Amagami SS+ Plus: Extra Episode+ Plus,22
The Hakkenden: Shin Shou,"1,2,13,17,6,21,27"
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,"4,22,9,64,23"
Katayoku no Khronos Gear,"1,24"
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu,"4,9,20,23,27"
Mahoutsukai Nara Miso wo Kue!,"10,23"
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,"4,66"
Aura: Maryuuin Kouga Saigo no Tatakai,"8,22,23"
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,"4,9,20,23,27"
Boku wa Tomodachi ga Sukunai Next,"4,22,9,35,23"
Kotoura-san,"4,22,37,23"
Yakimochi Caprice,36
Date A Live,"1,10,22,24,35,23"
Amagami SS+ Plus Picture Drama,22
Seitokai no Ichizon Lv.2: Watasu Seitokai,"4,35,20,23"
Seikimatsu Leader Gaiden Takeshi!,"4,23,27"
Acchi Kocchi: Place=Princess,"4,22,57,23"
Tenshi no Drop,"4,9"
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,"4,9,20,23,27"
Kotoura-san: Haruka no Heya,"4,23"
Date A Live: Date to Date,"22,24,35,23"
Genei wo Kakeru Taiyou,"1,8,10,66,40"
Koi to Senkyo to Chocolate: Koi Imouto!,"8,22,35,23"
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,"4,66"
Super Seisyun Brothers,"4,36"
Genei wo Kakeru Taiyou: Fumikomenai Kokoro,66
Pupipo!,"4,36,37,23"
Sekai no Hikari: Shinran Shounin,13
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,"1,46,8,24,50,38,29"
Komatsu Sakyou Anime Gekijou,"4,24,20,29"
Uchuu Senkan Yamato 2199: Tsuioku no Koukai,"1,8,24,50,38,29"
Ai Tenchi Muyou!,"4,24"
Seto no Hanayome Picture Drama,"4,22,20,23"
Ai Tenchi Muyou! Recaps,"4,24"
Tenchi Muyou! Ryououki 4th Season,"1,4,24,35,29"
Legend of Lemnear: Kyokuguro no Tsubasa Valkisas Pilot Film,"1,2"
Tenchi Muyou! Ryououki 5th Season,"1,4,24,35,29"
Tenchi Muyou! Ryououki: Heianmuyo! Picture Drama,"4,13"
Moldiver Ex,"4,24"
Shin Ougon Bat,"1,24,31"
Tenchi Muyou! GXP: Paradise Shidou-hen,"1,4,7,24,39,35,18,29"
Ookiku Furikabutte,"30,77,42"
Robby to Kerobby,"4,15"
Persona: Trinity Soul,"1,7,24,37,31"
Ookiku Furikabutte: Kihon no Kihon,"8,30,77,42"
Kannagi,"4,37,23,80,27"
Tetsuwan Birdy Decode,"1,4,24,42"
Takane no Jitensha,"10,23"
Kuroshitsuji,"1,10,7,13,6,27"
Tetsuwan Birdy Decode:02,"1,4,24,42"
Zettai Yareru Greece Shinwa,"4,9"
Senjou no Valkyria,"1,22,38"
Zenmai Zamurai,"4,15"
Kannagi: Moshimo Kannagi ga Attara...,"4,37,23,80,27"
Final Fantasy VII: On the Way to a Smile - Episode: Denzel,"1,10,31"
Kuroshitsuji Recap,"1,4,7,37,13,6,27"
Tetsuwan Birdy Decode: The Cipher,"1,4,24,42"
Tonari no 801-chan R,"4,19"
Fairy Tail,"1,2,10,27"
Kuroshitsuji II,"1,4,10,13,6,27"
"Kuroshitsuji: Sono Shitsuji, Kougyou","10,13,6,27"
So Ra No Wo To,"24,36,52,63,38,19"
Working!!,"4,74,48,42"
Senkou no Night Raid,"1,13,38,31"
Seikimatsu Occult Gakuin,"4,7,24,37,23,78"
Senjou no Valkyria: SenVal Theater,4
Ookiku Furikabutte: Natsu no Taikai-hen,"30,77,42"
Kuroshitsuji Picture Drama,"37,6"
Uchuu Show e Youkoso,"2,10,24,29"
So Ra No Wo To Specials,"24,36,52,63,38,19"
Ookiku Furikabutte: Natsu no Scorebook,"4,30,77"
Togainu no Chi,"1,28,24,41,58,76"
Senkou no Night Raid Specials,"1,13,38,31"
Senkou no Night Raid: Yogen,"1,13,38,31"
Ookiku Furikabutte: Natsu no Taikai-hen – Mokuhyou,"30,77,42"
Kuroshitsuji II Specials,"4,37,20,27"
Seikimatsu Occult Gakuin Specials,"4,37,23"
Fractale,"2,10,24"
Senjou no Valkyria 3: Tagatame no Juusou,"1,10,38"
Ao no Exorcist,"1,10,6,23,27"
Fairy Tail OVA,"4,10,9,27"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"8,37"
Senkou no Night Raid: Aruku Hako,"1,13,31"
The iDOLM@STER,"4,8,60,19"
Uta no☆Prince-sama♪ Maji Love 1000%,"4,22,61,19,73,23,43"
Working'!!,"4,74,48,42"
Working'!! Announcement Specials,4
Ao no Exorcist: Ura Ex,"4,27"
Ao no Exorcist: Kuro no Iede,"10,27"
Ao no Exorcist Movie,"1,10,6,23,27"
Sword Art Online,"1,2,10,22,64,79"
